date,time,repository,activity,description
2024-10-30,02:00:37,270toWin-Simulation-Automation,commit,Updating terminology
2024-10-30,01:58:01,270toWin-Simulation-Automation,commit,New Results
2024-10-30,01:49:11,270toWin-Simulation-Automation,commit,New Results
2024-10-30,01:45:37,270toWin-Simulation-Automation,commit,Adding swingstates tab styles
2024-10-30,01:44:06,270toWin-Simulation-Automation,commit,Changing active tab
2024-10-30,01:43:52,270toWin-Simulation-Automation,commit,Creating .gitignore
2024-10-30,01:42:46,270toWin-Simulation-Automation,commit,Deleting TXT file
2024-10-30,01:33:24,270toWin-Simulation-Automation,commit,Format updates
2024-10-30,00:52:52,270toWin-Simulation-Automation,commit,Updated Results
2024-10-30,00:05:18,270toWin-Simulation-Automation,commit,"Add simulation results for set 9 on October 29, 2024, 20:05"
2024-10-30,00:00:36,270toWin-Simulation-Automation,commit,"Add simulation results for set 9 on October 29, 2024, 20:00"
2024-10-29,23:56:47,270toWin-Simulation-Automation,commit,"Add simulation results for set 9 on October 29, 2024, 19:56"
2024-10-29,23:55:22,270toWin-Simulation-Automation,commit,"Add simulation results for set 8 on October 29, 2024, 19:55"
2024-10-29,23:47:03,270toWin-Simulation-Automation,commit,"Add simulation results for set 7 on October 29, 2024, 19:47"
2024-10-29,23:38:06,270toWin-Simulation-Automation,commit,"Add simulation results for set 7 on October 29, 2024, 19:38"
2024-10-29,22:51:49,270toWin-Simulation-Automation,commit,"Add simulation results for set 6 on October 29, 2024, 18:51"
2024-10-29,22:50:20,270toWin-Simulation-Automation,commit,Updated Results
2024-10-29,22:49:01,270toWin-Simulation-Automation,commit,New Results
2024-10-29,22:48:21,270toWin-Simulation-Automation,commit,New Results
2024-10-29,22:47:39,270toWin-Simulation-Automation,commit,"Add simulation results for set 5 on October 29, 2024, 18:47"
2024-10-29,22:46:16,270toWin-Simulation-Automation,commit,New Results
2024-10-29,22:45:27,270toWin-Simulation-Automation,commit,"Add simulation results for set 4 on October 29, 2024, 18:45"
2024-10-29,22:42:50,270toWin-Simulation-Automation,commit,"Add simulation results for set 3 on October 29, 2024, 18:42"
2024-10-29,22:22:09,270toWin-Simulation-Automation,commit,"Add simulation results for set 2 on October 29, 2024, 18:22"
2024-10-29,22:20:20,270toWin-Simulation-Automation,commit,"Add simulation results for set 1 on October 29, 2024, 18:20"
2024-10-29,22:13:54,270toWin-Simulation-Automation,commit,"Add simulation results for set 2 on October 29, 2024, 18:13"
2024-10-29,22:12:32,270toWin-Simulation-Automation,commit,"Add simulation results for set 1 on October 29, 2024, 18:12"
2024-10-29,21:42:42,270toWin-Simulation-Automation,commit,"Added Simulation Results for October 29, 2024, 17:42 EDT"
2024-10-29,21:27:54,270toWin-Simulation-Automation,commit,"Added Simulation Results for October 29, 2024, 17:27 EDT"
2024-10-29,21:16:27,270toWin-Simulation-Automation,commit,Automation Script with Auto-Commit
2024-10-29,21:15:14,270toWin-Simulation-Automation,commit,"Add simulation results for October 29, 2024, 17:15"
2024-10-29,21:01:26,270toWin-Simulation-Automation,commit,New Results
2024-10-29,20:59:20,270toWin-Simulation-Automation,commit,New Results
2024-10-29,20:53:52,270toWin-Simulation-Automation,commit,New Results
2024-10-29,20:50:02,270toWin-Simulation-Automation,commit,"New results, updates to styles"
2024-10-29,20:36:14,270toWin-Simulation-Automation,commit,New Results
2024-10-29,20:34:21,270toWin-Simulation-Automation,commit,Adding new script
2024-10-29,20:33:56,270toWin-Simulation-Automation,commit,Adding simulation results runs
2024-10-29,19:49:01,270toWin-Simulation-Automation,commit,Styling updates
2024-10-29,19:46:02,270toWin-Simulation-Automation,commit,Updating Copy functionality
2024-10-29,19:38:50,270toWin-Simulation-Automation,commit,Correcting ID to Class
2024-10-29,19:37:05,270toWin-Simulation-Automation,commit,"Updating styling, adding tab"
2024-10-29,18:09:49,270toWin-Simulation-Automation,commit,"New Tabs, Information"
2024-10-29,17:51:16,270toWin-Simulation-Automation,commit,Adding results
2024-10-24,04:15:02,270toWin-Simulation-Automation,commit,Adding new results row
2024-10-24,03:59:23,270toWin-Simulation-Automation,commit,Updates to Banner
2024-10-24,03:49:03,270toWin-Simulation-Automation,commit,Update stylesheet link
2024-10-24,03:47:59,270toWin-Simulation-Automation,commit,Initial Results
2024-10-24,02:38:01,270toWin-Simulation-Automation,commit,Updating webpage structure
2024-10-24,02:34:49,270toWin-Simulation-Automation,commit,Updating file
2024-10-24,02:33:34,270toWin-Simulation-Automation,commit,Create static.yml
2024-10-24,02:22:34,270toWin-Simulation-Automation,commit,Adding webpage
2024-10-23,23:59:04,270toWin-Simulation-Automation,commit,Update README.md
2024-10-23,23:58:28,270toWin-Simulation-Automation,commit,Update README.md
2024-10-23,23:56:49,270toWin-Simulation-Automation,commit,Adding README.md file
2024-10-23,23:25:15,270toWin-Simulation-Automation,commit,Initial Commit for Simulation
2018-02-11,21:36:11,acf-field-types,commit,added MIT License to this project
2017-12-26,17:53:02,acf-field-types,commit,Merge branch 'master' of https://github.com/thejessicafelts/acf-field-types
2017-12-26,17:47:52,acf-field-types,commit,updated file: corrected slight formatting errors.
2017-12-26,17:40:57,acf-field-types,commit,Update README.md
2017-12-26,17:35:17,acf-field-types,commit,ACF Field Type examples for Registering by PHP.
2017-12-26,16:15:23,acf-field-types,commit,Initial commit
2016-06-24,19:59:20,apps,commit,Initial Commit  Initial Commit of Index.html
2024-12-03,00:36:07,articles,commit,Updating CSS links
2024-12-01,05:04:46,articles,commit,Updates to archive page
2024-12-01,05:01:01,articles,commit,Updating styles
2024-12-01,04:55:58,articles,commit,Updating Styles + Adding Footer
2024-12-01,04:17:56,articles,commit,Update to articles headers
2024-11-29,20:23:39,articles,commit,Adding new article
2024-11-29,20:22:51,articles,commit,Adding new article
2024-11-29,20:03:15,articles,commit,Updating LinkedIn link
2024-11-29,20:01:47,articles,commit,Fix: article link
2024-11-29,20:00:31,articles,commit,Updating Article link
2024-11-29,20:00:02,articles,commit,Removing MD files
2024-11-29,19:59:01,articles,commit,Adding index file
2024-11-29,19:55:42,articles,commit,Updating article URL
2024-11-29,19:54:46,articles,commit,Moving article location
2024-11-29,19:50:18,articles,commit,Updating styles
2024-11-29,19:49:28,articles,commit,Changing article link
2024-11-29,19:49:12,articles,commit,Adding article HTML and CSS
2024-11-29,19:14:31,articles,commit,Updating Article Link
2024-10-14,08:37:16,articles,commit,Create README.md
2024-10-14,08:35:26,articles,commit,Article: The Future of UI Engineering
2025-01-18,16:06:08,babys-first-neural-network,commit,Image Analyzer
2025-01-17,21:51:12,babys-first-neural-network,commit,Initial commit
2019-01-04,02:27:41,border-radius-visualization,commit,Initial Commit of all Project Files.
2024-10-09,04:53:10,budget-app,commit,Update to Income Sources
2024-10-07,03:26:33,budget-app,commit,Initial Budgeting App
2025-03-15,17:52:01,builtwith-scraper,commit,Spelling Correction
2025-03-15,17:47:53,builtwith-scraper,commit,Initial Commit
2024-02-16,07:58:23,button-styles,commit,Basic Button Styles
2024-02-16,07:52:14,button-styles,commit,Arranging Cards
2024-02-16,07:46:45,button-styles,commit,Initial Commit
2023-12-18,17:51:14,CodingTest-OakStreetHealth,commit,Solution
2023-12-09,17:27:49,CodingTest-OakStreetHealth,commit,Initial commit
2023-08-13,16:05:49,collatz-conjecture,commit,Updated folder name
2023-08-13,16:04:53,collatz-conjecture,commit,Correcting README.md link
2023-08-13,16:03:36,collatz-conjecture,commit,Updating README.md Files
2023-08-13,16:02:08,collatz-conjecture,commit,Added C++ Solution
2023-08-13,14:29:05,collatz-conjecture,commit,"Removing HTML, CSS, and original JS files."
2023-08-13,14:27:18,collatz-conjecture,commit,Updating README.md Files
2023-08-13,14:25:38,collatz-conjecture,commit,Updating README.md Files
2023-08-13,14:25:04,collatz-conjecture,commit,Updating README.md Files
2023-08-13,14:23:54,collatz-conjecture,commit,Updating README.md Files
2023-08-13,14:22:08,collatz-conjecture,commit,Updating README.md Files
2023-08-13,14:19:37,collatz-conjecture,commit,Updating README.md Files
2023-08-13,14:15:39,collatz-conjecture,commit,Updating README.md Files
2023-08-13,14:13:48,collatz-conjecture,commit,Adding spacing to JS solution
2023-08-13,14:10:49,collatz-conjecture,commit,Adding space after user prompt
2023-08-13,14:08:44,collatz-conjecture,commit,Updated README.md
2023-08-13,14:08:35,collatz-conjecture,commit,Updated Python solution
2023-08-13,14:08:23,collatz-conjecture,commit,Updated JavaScript solution
2023-08-13,13:48:32,collatz-conjecture,commit,Updated Collatz conjecture for Python
2023-08-13,13:48:17,collatz-conjecture,commit,Added comment to top of file.
2023-08-13,13:33:31,collatz-conjecture,commit,Updated Collatz conjecture for JavaScript
2023-08-09,10:47:14,collatz-conjecture,commit,Working the Collatz Conjecture in Python
2021-08-24,19:21:59,collatz-conjecture,commit,Merge pull request #4 from thejessicafelts/ui-update  UI update
2021-08-24,19:20:51,collatz-conjecture,commit,Adding Header Top Bar for GitHub Pages
2021-08-24,19:08:05,collatz-conjecture,commit,Adding Header Top Bar for GitHub Pages
2021-08-24,13:41:46,collatz-conjecture,commit,Merge pull request #3 from thejessicafelts/ui-update  Adding Header Top Bar for GitHub Pages
2021-08-24,13:32:11,collatz-conjecture,commit,Adding Header Top Bar for GitHub Pages
2021-08-23,20:53:08,collatz-conjecture,commit,Merge pull request #2 from thejessicafelts/ui-update  Expanded Solution
2021-08-23,20:42:34,collatz-conjecture,commit,Expanded Solution
2021-08-19,15:38:30,collatz-conjecture,commit,Merge pull request #1 from thejessicafelts/ui-update  UI update
2021-08-19,15:36:03,collatz-conjecture,commit,Updates to README.md
2021-08-19,15:32:14,collatz-conjecture,commit,Updates to UI and Information
2021-08-19,15:32:07,collatz-conjecture,commit,Updates to UI and Information
2021-08-19,00:32:59,collatz-conjecture,commit,Updates to UI and Information
2021-08-19,00:07:55,collatz-conjecture,commit,Updates to Output Summary
2021-08-18,16:08:52,collatz-conjecture,commit,Updates to UI and Information
2021-08-18,15:22:43,collatz-conjecture,commit,Updates to README.md
2021-08-18,15:21:36,collatz-conjecture,commit,Adding Output Summary to UI.
2021-08-17,21:11:07,collatz-conjecture,commit,Updates to README.md
2021-08-17,20:38:36,collatz-conjecture,commit,Updates to README.md
2021-08-17,20:37:21,collatz-conjecture,commit,Updates to README.md
2021-08-17,20:24:18,collatz-conjecture,commit,Updates to README.md
2021-08-17,20:16:15,collatz-conjecture,commit,Updates to README.md
2021-08-17,20:15:46,collatz-conjecture,commit,Updates to README.md
2021-08-17,20:14:19,collatz-conjecture,commit,Updates to README.md
2021-08-17,20:12:19,collatz-conjecture,commit,Updates to README.md
2021-08-17,20:08:06,collatz-conjecture,commit,Updates to program w/ maxNumber
2021-08-17,19:53:36,collatz-conjecture,commit,Updates to README.md
2021-08-17,19:36:43,collatz-conjecture,commit,Setting and using maxNumber
2021-08-17,19:16:52,collatz-conjecture,commit,"Collatz Conjecture proof, working in console."
2021-08-17,19:10:14,collatz-conjecture,commit,"Collatz Conjecture proof, working in console."
2021-08-17,19:09:48,collatz-conjecture,commit,UI Updates
2021-08-17,18:08:58,collatz-conjecture,commit,Update to js
2021-08-17,16:00:10,collatz-conjecture,commit,Steps 1 and 2.
2021-08-17,15:43:00,collatz-conjecture,commit,Updates to JS
2021-08-17,15:42:49,collatz-conjecture,commit,UI Updates
2021-08-17,15:20:30,collatz-conjecture,commit,UI Updates
2021-08-17,15:05:45,collatz-conjecture,commit,Initial UI build
2021-08-17,03:30:40,collatz-conjecture,commit,Updates to README
2021-08-17,03:29:02,collatz-conjecture,commit,Updates to README
2021-08-17,03:24:07,collatz-conjecture,commit,Updates to README
2021-08-17,03:23:48,collatz-conjecture,commit,Updates to README
2021-08-17,03:21:58,collatz-conjecture,commit,Adding README
2021-08-17,02:29:04,collatz-conjecture,commit,Initial program
2021-08-24,19:21:50,collatz-conjecture,pull_request,UI update
2021-08-24,13:41:40,collatz-conjecture,pull_request,Adding Header Top Bar for GitHub Pages
2021-08-23,20:53:00,collatz-conjecture,pull_request,Expanded Solution
2021-08-19,15:37:53,collatz-conjecture,pull_request,UI update
2017-01-16,14:05:03,color-clock,commit,Update to files and file structure for color-clock
2016-12-07,00:07:26,color-clock,commit,Initial Commit for function.js
2016-12-07,00:07:17,color-clock,commit,Initial Commit for main.css
2016-12-07,00:07:04,color-clock,commit,Initial Commit for Index.html
2025-02-18,09:58:38,currency-denomination-challenge,commit,README.md revisions
2025-02-18,09:57:39,currency-denomination-challenge,commit,README.md revisions
2025-02-18,09:54:04,currency-denomination-challenge,commit,Including README.md file
2025-02-18,09:42:43,currency-denomination-challenge,commit,Update to Project Files
2025-04-12,09:43:18,devlog-automation,commit,Initial commit
2025-04-15,13:11:02,devlog-csv,commit,Initial commit to devlog-csv.py script
2025-04-15,13:10:46,devlog-csv,commit,README.md commit
2025-04-15,11:03:46,devlog-csv,commit,Initial commit
2024-02-27,23:35:26,edu,commit,Updating README file for textbook
2024-02-27,23:29:34,edu,commit,Updating README file for textbook
2024-02-27,23:15:49,edu,commit,Updating Chapter File Name Format
2024-02-27,23:13:22,edu,commit,Updating Folder Names
2024-02-27,23:11:21,edu,commit,Update to Openstax Biology 2e Chapter 1 PDF
2024-02-27,23:05:47,edu,commit,.gitignore file
2024-02-27,23:05:05,edu,commit,Openstax Biology 2e Chapter 17 PDF
2024-02-27,23:05:01,edu,commit,Openstax Biology 2e Chapter 16 PDF
2024-02-27,23:04:55,edu,commit,Openstax Biology 2e Chapter 15 PDF
2024-02-27,23:04:50,edu,commit,Openstax Biology 2e Chapter 14 PDF
2024-02-27,23:04:44,edu,commit,Openstax Biology 2e Chapter 13 PDF
2024-02-27,23:04:38,edu,commit,Openstax Biology 2e Chapter 12 PDF
2024-02-27,23:04:31,edu,commit,Openstax Biology 2e Chapter 11 PDF
2024-02-27,23:04:23,edu,commit,Openstax Biology 2e Chapter 10 PDF
2024-02-27,23:04:15,edu,commit,Openstax Biology 2e Chapter 9 PDF
2024-02-27,23:04:04,edu,commit,Openstax Biology 2e Chapter 8 PDF
2024-02-27,23:03:58,edu,commit,Openstax Biology 2e Chapter 7 PDF
2024-02-27,23:03:43,edu,commit,Openstax Biology 2e Chapter 6 PDF
2024-02-27,23:03:31,edu,commit,Openstax Biology 2e Chapter 5 PDF
2024-02-27,23:03:26,edu,commit,Openstax Biology 2e Chapter 4 PDF
2024-02-27,23:03:19,edu,commit,Openstax Biology 2e Chapter 3 PDF
2024-02-27,23:03:12,edu,commit,Openstax Biology 2e Chapter 2 PDF
2024-02-27,23:03:04,edu,commit,Openstax Biology 2e Chapter 1 PDF
2023-04-20,05:37:18,education,commit,Initial commit
2025-02-20,08:34:40,eo-checker,commit,Revised which information is gathered.
2025-02-20,08:31:38,eo-checker,commit,Revsided script to avoid duplications.
2025-02-18,09:12:57,eo-checker,commit,Adding README.md file
2025-02-18,09:09:18,eo-checker,commit,EO Checker Initial Commit
2017-12-11,01:19:21,feltsjensen-theme,commit,"feature; new files: added index, header, and footer files to theme."
2017-12-11,01:18:07,feltsjensen-theme,commit,feature; new files: added main asset files to theme.
2017-12-11,01:17:17,feltsjensen-theme,commit,feature; new files: added vendor files to theme.
2024-02-20,03:59:26,flashcards,commit,Updating DNA csv file.
2024-02-20,03:55:02,flashcards,commit,Updating DNA csv file.
2024-02-20,03:52:07,flashcards,commit,Adding .apkg ANKI file.
2024-02-20,03:36:48,flashcards,commit,Uploading DNA flashcards.
2020-01-03,04:30:31,income-tax-calculator,commit,Update README.md
2018-04-04,03:19:21,income-tax-calculator,commit,Update README.md
2018-04-02,01:23:29,income-tax-calculator,commit,updated income tax calculator stylesheet files.
2018-02-10,04:22:12,income-tax-calculator,commit,updated file: updated file  Adding section regarding tax information for users.
2018-02-06,04:11:23,income-tax-calculator,commit,updated file: updated README.md
2017-11-07,12:46:16,income-tax-calculator,commit,"updated file: Modified fuctionality for submit, and reset, as well as to display results of the calculations. :"
2017-11-07,12:45:36,income-tax-calculator,commit,updated file: Added new styles for the interface of calculator.
2017-11-07,12:45:16,income-tax-calculator,commit,updated file: Added new functionality for main.js file.
2017-11-04,22:07:18,income-tax-calculator,commit,new file: Added javascript file for an array of Michigan zipcodes.
2017-11-04,20:00:07,income-tax-calculator,commit,"New program setup, with vendor files, and new interface."
2017-06-03,03:18:35,income-tax-calculator,commit,Updated README.md  Added correct punctuation.
2017-06-02,02:25:07,income-tax-calculator,commit,Updated README.md  Added colons.
2017-01-16,12:47:07,income-tax-calculator,commit,Update to income-tax.js  Wrapped program in a function
2016-12-06,20:26:24,income-tax-calculator,commit,Merge pull request #1 from thejessicafelts/ReadMe-Changes  Updates to ReadMe.md
2016-12-06,20:23:27,income-tax-calculator,commit,Update README.md
2016-12-06,20:23:10,income-tax-calculator,commit,Update README.md
2016-12-06,20:22:38,income-tax-calculator,commit,Update README.md
2016-12-06,20:21:55,income-tax-calculator,commit,Update README.md
2016-12-06,20:21:16,income-tax-calculator,commit,Update to ReadMe.md  Included new updates
2016-12-06,20:19:26,income-tax-calculator,commit,Update README.md
2016-12-02,19:51:00,income-tax-calculator,commit,Update income-tax.js  Corrected spelling errors.
2016-02-26,18:47:43,income-tax-calculator,commit,Create income-tax.js  Initial Commit for the income-tax.js JavaScript file. This is the chunk of text you will run in your browser's console for the time being.
2016-02-26,18:45:20,income-tax-calculator,commit,Update README.md  Adding line breaks in Current Limitations section.
2016-02-26,18:44:31,income-tax-calculator,commit,Update README.md  Updating the README.md file.
2016-02-26,18:40:31,income-tax-calculator,commit,Initial commit
2016-12-06,20:26:10,income-tax-calculator,pull_request,Updates to ReadMe.md
2023-09-08,18:58:28,incometax,commit,Updates to Income Calculator
2023-09-08,18:56:18,incometax,commit,Updates to Income Calculator
2023-09-08,18:05:04,incometax,commit,Updates to Income Calculator
2023-09-08,07:50:18,incometax,commit,Income Tax Calculator
2024-11-22,12:33:12,income_tax_calculator--2024,commit,Displaying Results in UI
2024-11-22,12:15:51,income_tax_calculator--2024,commit,UI Updates
2024-11-22,12:03:34,income_tax_calculator--2024,commit,README.md
2024-11-22,12:01:07,income_tax_calculator--2024,commit,Update to JS
2024-11-22,12:00:31,income_tax_calculator--2024,commit,2024 Federal Income Tax Brackets
2024-11-22,11:49:37,income_tax_calculator--2024,commit,Updating Calculator
2024-11-21,13:22:34,income_tax_calculator--2024,commit,2024 Income Tax Calculator
2017-03-24,02:02:43,java-game,commit,Update to VoidTile.java
